signature,language,script,files,condition
Blank,spanish,En blanco,,
cents,english,cents,,
cents,spanish,centavos,,
seconds,english,seconds,,
seconds,spanish,segundos,,
minutes,english,minutes,,
minutes,spanish,minutos,,
hours,english,hours,,
hours,spanish,horas,,
Seconds,english,Seconds,,
Seconds,spanish,Segundos,,
Minutes,english,Minutes,,
Minutes,spanish,Minutos,,
Hours,english,Hours,,
Hours,spanish,Horas,,
SECONDS,english,SECONDS,,
SECONDS,spanish,SEGUNDOS,,
MINUTES,english,MINUTES,,
MINUTES,spanish,MINUTOS,,
HOURS,english,HOURS,,
HOURS,spanish,HORAS,,
rotations,english,rotations,,
rotations,spanish,rotaciones,,
 by ,english, by ,,
 by ,spanish, por ,,
 equals ,english, equals ,,
 equals ,spanish, igual ,,
 left,english,left,,
 left,spanish,izquierda,,
right,english,right,,
right,spanish,derecha,,
enabled,english,enabled,,
enabled,spanish,habilitado,,
disabled,english,disabled,,
disabled,spanish,deshabilitado,,
selected,english,selected,,
selected,spanish,seleccionado,,
not selected,english,not selected,,
not selected,spanish,no seleccionado,,
group of,english,group of,,
group of,spanish,grupo de,,
group's of,english,group's of,,
group's of,spanish,grupos de,,
plus,english,plus,,
plus,spanish,mas,,
Plus,english,Plus,,
Plus,spanish,Mas,,
minus,english,minus,,
minus,spanish,menos,,
Minus,english,Minus,,
Minus,spanish,Menos,,
plus or minus,english,plus or minus,,
plus or minus,spanish,mas o menos,,
Plus or Minus,english,Plus or Minus,,
Plus or Minus,spanish,Mas o Menos,,
Coefficient of,english,Coefficient of,,
Coefficient of,spanish,Coeficiente de,,
Quotient,english,Quotient,,
Quotient,spanish,Cociente,,
Dividend,english,Dividend,,
Dividend,spanish,Dividendo,,
Remainder,english,Remainder,,
Remainder,spanish,Restante,,
Whole part,english,Whole part,,
Whole part,spanish,Entero,,
Empty,english,Empty,,
Empty,spanish,VacÃ­o,,
hidden,english,hidden,,
hidden,spanish,escondido,,
False,english,False,,
False,spanish,Falso,,
True,english,True,,
True,spanish,Verdadero,,
Next,english,Next,,
Next,spanish,Siguiente,,
Greater than,english,Greater than,,
Greater than,spanish,Mayor que,,
Less than,english,Less than,,
Less than,spanish,Menor que,,
counter,english,counter,,
counter,spanish,contador,,
counters,english,counters,,
counters,spanish,contadores,,
green,english,green,,
green,spanish,verde,,
blue,english,blue,,
blue,spanish,azul,,
orange,english,orange,,
orange,spanish,naranja,,
is equal to,english,is equal to,,
is equal to,spanish,es igual a,,
lands on,english,lands on,,
lands on,spanish,aterriza en,,
jumps of,english,jumps of,,
jumps of,spanish,brincos de,,
groups of,english,groups of,,
groups of,spanish,grupos de,,
divided by,english,divided by,,
divided by,spanish,dividido por,,
times,english,times,,
times,spanish,veces,,
backward,english,backward,,
backward,spanish,hacia atrÃ¡s,,
forward,english,forward,,
forward,spanish,hacia adelante,,
backwards,english,backwards,,
backwards,spanish,hacia atrÃ¡s,,
forwards,english,forwards,,
forwards,spanish,hacia adelante,,
of,english,of,,
of,spanish,de,,
negative,english,negative,,
negative,spanish,negativo,,
weeklyProgressLabel,english,"Weekly Goal <weeklyLessonsCompleted> of 5 lessons complete.",
weeklyProgressLabel,spanish,"Weekly Goal <weeklyLessonsCompleted> of 5 lessons complete.",
Complete,english,Complete,,
Complete,spanish,Completo,,
Incomplete,english,Incomplete,,
Incomplete,spanish,Incompleto,,
flexGroupTitle,english,My Lessons Dashboard,,
flexGroupTitle,spanish,My Lessons Dashboard,,
flexWeeklyGoalTitle,english,Weekly Goal,,
flexWeeklyGoalTitle,spanish,Weekly Goal,,
flexAssignmentsTitle,english,Assignments,,
flexAssignmentsTitle,spanish,Assignments,,
flexRecommendationsTitle,english,Recommendations,,
flexRecommendationsTitle,spanish,Recommendations,,
flexAssignmentsItem,english,Play assignment <index> of <total> <title> <tagText>,,
flexAssignmentsItem,spanish,Play assignment <index> of <total> <title> <tagText>,,
flexRecommendationsItem,english,Play recommendation <index> of <total> <title> <tagText>,,
flexRecommendationsItem,spanish,Play recommendation <index> of <total> <title> <tagText>,,
flexAlertAssignmentComplete,english,Assignment complete,,
flexAlertAssignmentComplete,spanish,AsignaciÃ³n completa,,
flexAssignmentsSubtitle,english,Assignments Complete,,
flexAssignmentsSubtitle,spanish,Tareas completadas,,
doneButtonEnabled,english,"Done button enabled",,"<enabled>"
doneButtonEnabled,english,"Done button disabled",,"!<enabled>"
doneButtonEnabled,spanish,"Translate Me: Done button enabled",,"<enabled>"
doneButtonEnabled,spanish,"Translate Me: Done button disabled",,"!<enabled>"
resetButtonEnabled,english,"Reset button enabled",,"<enabled>"
resetButtonEnabled,english,"Reset button disabled",,"!<enabled>"
resetButtonEnabled,spanish,"Translate Me: Reset button enabled",,"<enabled>"
resetButtonEnabled,spanish,"Translate Me: Reset button disabled",,"!<enabled>"
nextButtonEnabled,english,"Next button enabled",,"<enabled>"
nextButtonEnabled,english,"Next button disabled",,"!<enabled>"
nextButtonEnabled,spanish,"Translate Me: Next button enabled",,"<enabled>"
nextButtonEnabled,spanish,"Translate Me: Next button disabled",,"!<enabled>"
