signature,language,script,files,condition
editableShapeLabel,spanish,<value> de entrada <position> de <total>.,,
draggableShapeLabel,english,<value> input <position> of <total>.,,
draggableShapeLabel,spanish,<value> de entrada <position> de <total>.,,
hint,english,Hint.,,
hint,spanish,Pista.,,
instructionsTool,english,Press to play instructions: <text>,,
instructionsTool,spanish,Presiona para reproducir las instrucciones: <text>,,
expressionTrayAlertEnterEmpty,english,Start a new equation.,,
expressionTrayAlertEnterEmpty,spanish,Inicia una nueva ecuaciÃ³n.,,
expressionTrayAlertDropEmpty,english,New equation started.,,
expressionTrayAlertDropEmpty,spanish,Nueva ecuaciÃ³b iniciada.,,
expressionTrayAlertEnterStart,english,"Drop location at start of equation, before <value>.",,
expressionTrayAlertEnterStart,spanish,"UbicaciÃ³n de colocaciÃ³n al inicio de la ecuaciÃ³n, antes del valor <value>.",,
expressionTrayAlertDropStart,english,"Tile inserted at start of equation, before <value>.",,
expressionTrayAlertDropStart,spanish,"Ficha colocada al inicio de la ecuaciÃ³n, antes del valor <value>.",,
expressionTrayAlertEnterBetween,english,Drop location between tiles <valueA> and <valueB>.,,
expressionTrayAlertEnterBetween,spanish,UbicaciÃ³n de colocaciÃ³n entre las fichas <valueA> and <valueB>.,,
expressionTrayAlertDropBetween,english,Tile inserted between tiles <valueA> and <valueB>.,,
expressionTrayAlertDropBetween,spanish,Ficha insertada entre las fichas <valueA> y <valueB>.,,
expressionTrayAlertEnterReplace,english,Drop location to replace tile <value>.,,
expressionTrayAlertEnterReplace,spanish,UbicaciÃ³n de colocaciÃ³n remplazara a la ficha con valor <value>.,,
expressionTrayAlertDropReplace,english,Tile added to equation as replacement of tile <value>.,,
expressionTrayAlertDropReplace,spanish,Ficha agregada a la ecuaciÃ³n como remplazo de la ficha con valor <value>.,,
expressionTrayAlertEnterEnd,english,"Drop location at end of equation, after <value>.",,
expressionTrayAlertEnterEnd,spanish,"UbicaciÃ³n de colocaciÃ³n al final de la ecuaciÃ³n, despues de el valor <value>.",,
expressionTrayAlertDropEnd,english,"Tile inserted at end of equation, after <value>.",,
expressionTrayAlertDropEnd,spanish,"Ficha insertada la final de la ecuaciÃ³n, despues del valor <value>.",,
expressionTrayAlertCancel,english,Drag canceled.,,
expressionTrayAlertCancel,spanish,Arrastre cancelado.,,
expressionTrayAlertDelete,english,Tile deleted.,,
expressionTrayAlertDelete,spanish,Ficha borrada.,,
tilesCleanedAlert,english,Reset pressed. Equation cleared.,,
tilesCleanedAlert,spanish,Reinicio presionado. EcuaciÃ³n restablecida.,,
shapeDivisionsRemovedAlert,english,All shape divisions removed.,,
shapeDivisionsRemovedAlert,spanish,Todas las formas de divisiÃ³n fueron removidas.,,
digitlineCardSelectedAlert,english,<value> selected.,,
digitlineCardSelectedAlert,spanish,<value> seleccionado.,,
